Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,1,2020-09-05T18:03:04-07:00,8.4301829338074,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6951,,,-1,-1,,,,,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,2,2020-09-05T18:03:18-07:00,13.576611042023,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,11444,,,-1,-1,,,,,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,3,2020-09-05T18:03:30-07:00,12.450407028198,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11738,,,-1,-1,,,,,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,4,2020-09-05T18:03:42-07:00,11.611612081528,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10829,,,-1,-1,,,,,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,5,2020-09-05T18:03:46-07:00,4.0302248001099,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,3367,,,-1,-1,,,,,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,6,2020-09-05T18:03:50-07:00,4.0156240463257,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",FISH,SHRIMP,BUFFER3,Buffer,93,92,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3302,,,2871,3099,,,,100,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,7,2020-09-05T18:03:54-07:00,4.1340570449829,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",ADVENTURE,CAMP,BUFFER3,Buffer,95,93,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2837,,,2459,2555,,,,50,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,8,2020-09-05T18:04:01-07:00,6.8823230266571,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",POTATO,CARROT,BUFFER3,Buffer,91,94,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6047,,,5102,5824,,,,20,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,9,2020-09-05T18:04:03-07:00,2.4258859157562,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",FROZEN,ICE,BUFFER3,Buffer,94,96,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1739,,,1326,1581,,,,100,1
w10021803mm,qotkxc9me9,Nick_Dissertation_EX1,1,10,2020-09-05T18:04:07-07:00,3.4390840530396,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",STRING,NOODLE,BUFFER3,Buffer,92,95,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2346,,,1888,2128,,,,100,1
