Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,1,2020-10-05T17:56:02-07:00,6.8311069011688,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6630,,,-1,-1,,,,,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,2,2020-10-05T17:56:22-07:00,20.129414081573,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,10,"As you study, you will be asked to rate how often the words in each pair are used together. Assume 100 college students from around the nation gave responses to each CUE (first) word. How many of these 100 students do you think would have given the RESPONSE (second) word?",,Instruct13,19604,,,-1,-1,,,,,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,3,2020-10-05T17:56:34-07:00,11.657351970673,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that DOG is not a commonly given response to the word CAT, while a score of 100 indicates that DOG would be a common response.",,Instruct14,11415,,,-1,-1,,,,,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,4,2020-10-05T17:56:46-07:00,11.745895147324,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11262,,,-1,-1,,,,,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,5,2020-10-05T17:56:48-07:00,2.5903429985046,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,2135,,,-1,-1,,,,,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,6,2020-10-05T17:56:54-07:00,6.0853559970856,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",TREES,GREEN,BUFFER1,Buffer,1,2,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5628,,,4884,5262,,,,100,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,7,2020-10-05T17:56:59-07:00,4.78093791008,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",SCARE,HIDE,BUFFER1,Buffer,4,4,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4284,,,2844,3252,,,,100,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,8,2020-10-05T17:57:02-07:00,2.5046980381012,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",PEANUT,BUTTER,BUFFER1,Buffer,3,5,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2179,,,1434,1845,,,,100,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,9,2020-10-05T17:57:07-07:00,4.9257910251617,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",SPACE,JAM,BUFFER1,Buffer,5,3,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4415,,,3785,4127,,,,60,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,10,2020-10-05T17:57:12-07:00,5.3348498344421,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",BASEBALL,CATCHER,BUFFER1,Buffer,2,6,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5060,,,4543,4764,,,,75,1
w10088817_XD,4xz6vcrirt,Nick_Dissertation_EX1,1,11,2020-10-05T17:57:16-07:00,4.4407751560211,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",PARK,HUNGRY,Study1,U,68,68,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3848,,,3373,3587,,,,20,1
