Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,1,2020-05-06T21:36:08-07:00,8.5973970890045,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6824,,,-1,-1,,,,,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,2,2020-05-06T21:36:37-07:00,29.180532932281,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,27424,,,-1,-1,,,,,0.716
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,3,2020-05-06T21:36:56-07:00,19.092659950256,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,17770,,,-1,-1,,,,,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,4,2020-05-06T21:37:09-07:00,12.846898078918,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11617,,,-1,-1,,,,,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,5,2020-05-06T21:37:16-07:00,6.7790849208832,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,5578,,,-1,-1,,,,,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,6,2020-05-06T21:37:32-07:00,16.908342123032,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",FROZEN,ICE,BUFFER3,Buffer,94,95,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,15746,,,8460,14762,,,,89,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,7,2020-05-06T21:37:43-07:00,10.03440785408,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",ADVENTURE,CAMP,BUFFER3,Buffer,95,94,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8886,,,3926,4527,,,,10,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,8,2020-05-06T21:37:50-07:00,7.9697721004486,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",FISH,SHRIMP,BUFFER3,Buffer,93,92,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6791,,,4717,5271,,,,25,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,9,2020-05-06T21:37:55-07:00,4.7973659038544,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",POTATO,CARROT,BUFFER3,Buffer,91,96,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3546,,,2613,2614,,,,0,1
w10061361_cbj,2qqczm9603,Nick_Dissertation_EX1,1,10,2020-05-06T21:38:02-07:00,6.690957069397,8,versionC_stim.csv,JOLVersionD.csv,"JOL Version D","Dissertation, JOL version D",STRING,NOODLE,BUFFER3,Buffer,92,93,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5519,,,3847,3850,,,,0,1
