Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,1,2020-04-17T09:54:04-07:00,7.9424319267273,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6605,,,-1,-1,,,,,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,2,2020-04-17T09:54:11-07:00,7.0945980548859,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate how often the words in each pair are used together.",,Instruct13,5849,,,-1,-1,,,,,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,3,2020-04-17T09:54:26-07:00,14.996500015259,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that the words DOG and CAT are not used together often in language, while a rating of 100 indicates that DOG and CAT are commonly used together.",,Instruct14,13453,,,-1,-1,,,,,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,4,2020-04-17T09:54:39-07:00,12.808695077896,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11251,,,-1,-1,,,,,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,5,2020-04-17T09:54:43-07:00,4.6832299232483,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,3369,,,-1,-1,,,,,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,6,2020-04-17T09:54:59-07:00,16.055705070496,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",POTATO,CARROT,BUFFER3,Buffer,91,93,FREQ,User,-,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,14609,,,13203,13203,,,,5,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,7,2020-04-17T09:55:11-07:00,11.521184921265,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",STRING,NOODLE,BUFFER3,Buffer,92,96,FREQ,User,-,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,10708,,,8082,8082,,,,3,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,8,2020-04-17T09:55:19-07:00,7.7735230922699,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",FISH,SHRIMP,BUFFER3,Buffer,93,95,FREQ,User,-,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6583,,,4743,5172,,,,100,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,9,2020-04-17T09:55:27-07:00,8.7713580131531,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",FROZEN,ICE,BUFFER3,Buffer,94,94,FREQ,User,-,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7931,,,6239,6396,,,,50,1
10029010,2eacrw31sb,Nick_Dissertation_EX1,1,10,2020-04-17T09:55:38-07:00,10.865119934082,12,versionC_stim.csv,FREQVersionD.csv,"Frequency Version D","Dissertation, Frequency version D",ADVENTURE,CAMP,BUFFER3,Buffer,95,92,FREQ,User,-,"How often are these two words used together?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,9600,,,3949,4309,,,,99,1
