Username,ID,Date,Session,Condition_Number,Condition_Description,Output_File,Stimuli_File,Procedure_File,Browser,DeviceType,OS,IP
ddd,egeqmty1lv,2020-03-24T21:34:31+00:00,1,1,"Read Version A",Output_Session1_ddd_egeqmty1lv.csv,versionA_stim.csv,READVersionA.csv,"Firefox 74.0",Desktop,Win10,::1
ddd,nadjruafik,2020-03-24T21:35:33+00:00,1,2,"Read Version B",Output_Session1_ddd_nadjruafik.csv,versionA_stim.csv,READVersionB.csv,"Firefox 74.0",Desktop,Win10,::1
555,0hwfn76i50,2020-03-24T21:39:36+00:00,1,3,"Read Version C",Output_Session1_555_0hwfn76i50.csv,versionC_stim.csv,READVersionC.csv,"Firefox 74.0",Desktop,Win10,::1
4545,8fqr0rhasq,2020-03-25T01:13:25+00:00,1,4,"Read Version D",Output_Session1_4545_8fqr0rhasq.csv,versionC_stim.csv,READVersionD.csv,"Firefox 74.0",Desktop,Win10,::1
100,7rqwccirg8,2020-03-25T01:21:11+00:00,1,5,"JOL Version A",Output_Session1_100_7rqwccirg8.csv,versionA_stim.csv,JOLVersionA.csv,"Firefox 74.0",Desktop,Win10,::1
ASDAF,1gujd9ypbm,2020-08-17T06:55:58-07:00,1,6,"JOL Version B",Output_Session1_ASDAF_1gujd9ypbm.csv,versionA_stim.csv,JOLVersionB.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
ADFADF,8ldfff38su,2020-08-17T06:56:11-07:00,1,7,"JOL Version C",Output_Session1_ADFADF_8ldfff38su.csv,versionC_stim.csv,JOLVersionC.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
Ddad,ivr4i5vq4b,2020-08-17T06:57:19-07:00,1,8,"JOL Version D",Output_Session1_Ddad_ivr4i5vq4b.csv,versionC_stim.csv,JOLVersionD.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
asdfaf,fr8epnwz90,2020-08-17T06:58:25-07:00,1,9,"JAM Version A",Output_Session1_asdfaf_fr8epnwz90.csv,versionA_stim.csv,JAMVersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
w10056093C.G.,8ilgnem5mw,2020-08-17T08:51:20-07:00,1,10,"JAM Version B",Output_Session1_w10056093C.G._8ilgnem5mw.csv,versionA_stim.csv,JAMVersionB.csv,"Edge 84.0",Desktop,Win10,131.95.1.44
w10068374CG,13la3l8qp7,2020-08-17T10:27:42-07:00,1,11,"JAM Version C",Output_Session1_w10068374CG_13la3l8qp7.csv,versionC_stim.csv,JAMVersionC.csv,"Chrome 84.0",Desktop,Win10,131.95.7.239
w10022351_jam,csfpk7whub,2020-08-17T11:17:39-07:00,1,12,"JAM Version D",Output_Session1_w10022351_jam_csfpk7whub.csv,versionC_stim.csv,JAMVersionD.csv,"Chrome 84.0",Desktop,Win10,131.95.7.253
w980000_lf,5iqf61ok6f,2020-08-17T11:36:46-07:00,1,1,"Read Version A",Output_Session1_w980000_lf_5iqf61ok6f.csv,versionA_stim.csv,READVersionA.csv,"Edge 18.0",Desktop,Win10,75.64.28.3
w10065817_CEB,esbt7ntuf0,2020-08-17T13:00:22-07:00,1,2,"Read Version B",Output_Session1_w10065817_CEB_esbt7ntuf0.csv,versionA_stim.csv,READVersionB.csv,"Mobile Safari Generic",Tablet,iOS,131.95.7.245
w10065817_CEB,opx3i7by7w,2020-08-17T13:03:27-07:00,1,3,"Read Version C",Output_Session1_w10065817_CEB_opx3i7by7w.csv,versionC_stim.csv,READVersionC.csv,"Mobile Safari Generic",Tablet,iOS,131.95.7.245
w10089076_AG,dn2tw7qhld,2020-08-17T13:06:07-07:00,1,4,"Read Version D",Output_Session1_w10089076_AG_dn2tw7qhld.csv,versionC_stim.csv,READVersionD.csv,"Chrome 84.0",Desktop,Win10,131.95.7.252
w995669_AML,7y573dzooc,2020-08-17T14:27:40-07:00,1,5,"JOL Version A",Output_Session1_w995669_AML_7y573dzooc.csv,versionA_stim.csv,JOLVersionA.csv,"Chrome 84.0",Desktop,Win10,73.203.232.52
w10030814_cms,y9j7oel6i2,2020-08-17T14:39:23-07:00,1,6,"JOL Version B",Output_Session1_w10030814_cms_y9j7oel6i2.csv,versionA_stim.csv,JOLVersionB.csv,"Safari Generic",Desktop,MacOSX,131.95.7.244
905158TA,onvx4hul36,2020-08-18T11:49:25-07:00,1,7,"JOL Version C",Output_Session1_905158TA_onvx4hul36.csv,versionC_stim.csv,JOLVersionC.csv,"Safari 12.1",Desktop,MacOSX,73.2.215.218
905158TA,owhcr7ur6j,2020-08-18T12:05:08-07:00,1,8,"JOL Version D",Output_Session1_905158TA_owhcr7ur6j.csv,versionC_stim.csv,JOLVersionD.csv,"Chrome 84.0",Desktop,Win7,73.2.215.218
w10079495,mvyn9hg6t7,2020-08-18T12:28:33-07:00,1,9,"JAM Version A",Output_Session1_w10079495_mvyn9hg6t7.csv,versionA_stim.csv,JAMVersionA.csv,"Chrome 84.0",Desktop,Win10,131.95.7.241
w100181550LKD,kvo6hdes9g,2020-08-18T17:28:31-07:00,1,10,"JAM Version B",Output_Session1_w100181550LKD_kvo6hdes9g.csv,versionA_stim.csv,JAMVersionB.csv,DefaultProperties,unknown,unknown,72.173.137.109
w10048422AB,bes7sqds8b,2020-08-18T17:49:05-07:00,1,11,"JAM Version C",Output_Session1_w10048422AB_bes7sqds8b.csv,versionC_stim.csv,JAMVersionC.csv,"Chrome 84.0",Desktop,MacOSX,131.95.7.247
