Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,1,2020-10-24T10:29:34-07:00,44.209919929504,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,43768,,,-1,-1,,,,,0.361
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,2,2020-10-24T10:30:04-07:00,29.953297138214,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,10,"As you study, you will be asked to rate how often the words in each pair are used together. Assume 100 college students from around the nation gave responses to each CUE (first) word. How many of these 100 students do you think would have given the RESPONSE (second) word?",,Instruct13,29256,,,-1,-1,,,,,0.243
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,3,2020-10-24T10:32:24-07:00,140.71393179893,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that DOG is not a commonly given response to the word CAT, while a score of 100 indicates that DOG would be a common response.",,Instruct14,140042,,,-1,-1,,,,,0.242
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,4,2020-10-24T10:32:44-07:00,19.710211038589,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,19171,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,5,2020-10-24T10:34:04-07:00,79.946588039398,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,79427,,,-1,-1,,,,,0.25
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,6,2020-10-24T10:34:17-07:00,13.307709932327,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",BASEBALL,CATCHER,BUFFER1,Buffer,2,6,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,12727,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,7,2020-10-24T10:34:21-07:00,3.6240491867065,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",TREES,GREEN,BUFFER1,Buffer,1,2,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2959,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,8,2020-10-24T10:34:49-07:00,28.087850809097,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",SPACE,JAM,BUFFER1,Buffer,5,3,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,27561,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,9,2020-10-24T10:34:52-07:00,2.8879761695862,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",PEANUT,BUTTER,BUFFER1,Buffer,3,4,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2327,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,10,2020-10-24T10:34:55-07:00,3.4275920391083,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",SCARE,HIDE,BUFFER1,Buffer,4,5,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2928,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,11,2020-10-24T10:34:57-07:00,1.7316598892212,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",POP,SODA,Study1,S,56,31,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1291,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,12,2020-10-24T10:34:59-07:00,1.6450610160828,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",KIDNEY,LIVER,Study1,S,53,57,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1228,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,13,2020-10-24T10:35:00-07:00,0.99821901321411,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",HUNGER,FAMINE,Study1,B,40,83,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",599,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,14,2020-10-24T10:35:01-07:00,1.1078329086304,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",PLANE,PILOT,Study1,B,44,86,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",684,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,15,2020-10-24T10:35:02-07:00,1.1726820468903,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",WAY,OUT,Study1,F,16,45,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",662,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,16,2020-10-24T10:35:03-07:00,1.3142819404602,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",DEBATE,SIGHT,Study1,U,73,14,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",881,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,17,2020-10-24T10:35:05-07:00,1.1810321807861,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",TRIAL,JURY,Study1,S,50,37,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",713,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,18,2020-10-24T10:35:06-07:00,1.4106678962708,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",ARTERY,BRONZE,Study1,U,74,70,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",932,,,-1,-1,,,,,1
5eb5a8cb24edf10dc07e97c0,3ljr0lqwyj,Nick_Dissertation_EX1,1,19,2020-10-24T10:35:11-07:00,5.2213959693909,9,versionA_stim.csv,JAMVersionA.csv,"JAM Version A","Dissertation, JAM version A",DUMP,WASTE,Study1,S,49,41,JAM,User,-,"How many people out of 100 do you think would respond with the second word if they were only shown the first?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4649,,,-1,-1,,,,,1
