Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,1,2020-06-02T09:25:15-07:00,12.517068147659,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1,12150,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,2,2020-06-02T09:25:18-07:00,2.6323418617249,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",GREEN,TREES,BUFFER1,Buffer,1,4,Study,User,-,,Study/JOL,BUFFER,2242,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,3,2020-06-02T09:25:21-07:00,3.672600030899,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",JAM,SPACE,BUFFER1,Buffer,5,6,Study,User,-,,Study/JOL,BUFFER,3289,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,4,2020-06-02T09:25:28-07:00,6.6754570007324,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CATCHER,BASEBALL,BUFFER1,Buffer,2,5,Study,User,-,,Study/JOL,BUFFER,6213,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,5,2020-06-02T09:25:35-07:00,7.2127170562744,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",HIDE,SCARE,BUFFER1,Buffer,4,3,Study,User,-,,Study/JOL,BUFFER,6799,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,6,2020-06-02T09:25:44-07:00,8.5296258926392,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",BUTTER,PEANUT,BUFFER1,Buffer,3,2,Study,User,-,,Study/JOL,BUFFER,8131,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,7,2020-06-02T09:25:51-07:00,7.4771890640259,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",RIDDLE,SUGAR,Study1,U,81,70,Study,User,-,,Study/JOL,"Study Phase",7030,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,8,2020-06-02T09:25:56-07:00,4.227089881897,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",HUNGRY,PARK,Study1,U,68,58,Study,User,-,,Study/JOL,"Study Phase",3813,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,9,2020-06-02T09:25:59-07:00,3.0134341716766,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",LIVER,KIDNEY,Study1,S,53,69,Study,User,-,,Study/JOL,"Study Phase",2587,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,10,2020-06-02T09:26:02-07:00,3.5531208515167,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CLUTTER,PUSHER,Study1,U,66,22,Study,User,-,,Study/JOL,"Study Phase",3160,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,11,2020-06-02T09:26:05-07:00,3.2055850028992,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",VASE,KING,Study1,U,85,11,Study,User,-,,Study/JOL,"Study Phase",2839,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,12,2020-06-02T09:26:08-07:00,3.0041739940643,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",SIP,DRINK,Study1,F,27,57,Study,User,-,,Study/JOL,"Study Phase",2571,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,13,2020-06-02T09:26:13-07:00,4.3524091243744,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",SEIZE,TAKE,Study1,F,29,72,Study,User,-,,Study/JOL,"Study Phase",3960,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,14,2020-06-02T09:26:14-07:00,1.5568969249725,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",STING,HORNET,Study1,B,11,41,Study,User,-,,Study/JOL,"Study Phase",1138,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,15,2020-06-02T09:26:17-07:00,2.4849281311035,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",PILOT,PLANE,Study1,F,44,7,Study,User,-,,Study/JOL,"Study Phase",2099,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,16,2020-06-02T09:26:19-07:00,2.4650208950043,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",JURY,TRIAL,Study1,S,50,20,Study,User,-,,Study/JOL,"Study Phase",2094,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,17,2020-06-02T09:26:24-07:00,5.1378240585327,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",WAR,REVOLUTION,Study1,B,20,67,Study,User,-,,Study/JOL,"Study Phase",4707,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,18,2020-06-02T09:26:27-07:00,3.0859370231628,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CHILD,BABY,Study1,S,64,62,Study,User,-,,Study/JOL,"Study Phase",2691,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,19,2020-06-02T09:26:32-07:00,4.4036748409271,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CLEAN,HYGIENE,Study1,B,17,8,Study,User,-,,Study/JOL,"Study Phase",3005,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,20,2020-06-02T09:26:34-07:00,2.6195411682129,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",BLAZE,FIRE,Study1,F,45,65,Study,User,-,,Study/JOL,"Study Phase",2218,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,21,2020-06-02T09:26:39-07:00,4.4426019191742,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",TALK,DISCUSSION,Study1,B,21,66,Study,User,-,,Study/JOL,"Study Phase",4023,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,22,2020-06-02T09:26:41-07:00,2.1300029754639,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",END,BEGIN,Study1,S,54,29,Study,User,-,,Study/JOL,"Study Phase",1751,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,23,2020-06-02T09:26:46-07:00,4.6014471054077,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",POSITION,MACHINE,Study1,U,76,71,Study,User,-,,Study/JOL,"Study Phase",4206,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,24,2020-06-02T09:26:54-07:00,8.9266738891602,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",ROUND,CIRCLE,Study1,S,65,15,Study,User,-,,Study/JOL,"Study Phase",7439,,,-1,-1,,,,0.763
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,25,2020-06-02T09:26:57-07:00,2.6867570877075,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",FAMINE,HUNGER,Study1,F,40,35,Study,User,-,,Study/JOL,"Study Phase",2286,,,-1,-1,,,,1
5ec530f7aa5afd49a06b00a2,pl773sod28,Nick_Dissertation_EX1,1,26,2020-06-02T09:27:00-07:00,2.504595041275,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CHILI,HOT,Study1,F,37,44,Study,User,-,,Study/JOL,"Study Phase",2146,,,-1,-1,,,,1
