Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,1,2020-08-27T10:33:39-07:00,12.36216711998,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1,12123,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,2,2020-08-27T10:33:43-07:00,3.7031309604645,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",BASEBALL,CATCHER,BUFFER1,Buffer,2,3,Study,User,-,,Study/JOL,BUFFER,3481,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,3,2020-08-27T10:33:45-07:00,2.598002910614,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",PEANUT,BUTTER,BUFFER1,Buffer,3,4,Study,User,-,,Study/JOL,BUFFER,2402,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,4,2020-08-27T10:33:49-07:00,3.7774951457977,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",SCARE,HIDE,BUFFER1,Buffer,4,2,Study,User,-,,Study/JOL,BUFFER,3577,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,5,2020-08-27T10:33:59-07:00,9.723042011261,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",TREES,GREEN,BUFFER1,Buffer,1,5,Study,User,-,,Study/JOL,BUFFER,9501,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,6,2020-08-27T10:34:00-07:00,1.6497659683228,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",SPACE,JAM,BUFFER1,Buffer,5,6,Study,User,-,,Study/JOL,BUFFER,1455,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,7,2020-08-27T10:34:11-07:00,10.349888086319,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",DIETARY,SACKING,Study1,U,67,16,Study,User,-,,Study/JOL,"Study Phase",10163,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,8,2020-08-27T10:34:13-07:00,2.7901608943939,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",GEOLOGY,ROCK,Study1,F,19,36,Study,User,-,,Study/JOL,"Study Phase",2572,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,9,2020-08-27T10:34:16-07:00,2.4137470722198,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",REVOLUTION,WAR,Study1,F,20,27,Study,User,-,,Study/JOL,"Study Phase",2257,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,10,2020-08-27T10:34:17-07:00,1.6218190193176,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",WAY,OUT,Study1,F,16,37,Study,User,-,,Study/JOL,"Study Phase",1429,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,11,2020-08-27T10:34:19-07:00,1.3926358222961,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",HOT,CHILI,Study1,B,37,28,Study,User,-,,Study/JOL,"Study Phase",1233,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,12,2020-08-27T10:34:21-07:00,1.7105929851532,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",PLANE,PILOT,Study1,B,44,49,Study,User,-,,Study/JOL,"Study Phase",1536,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,13,2020-08-27T10:34:23-07:00,2.7234961986542,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",KING,VASE,Study1,U,85,14,Study,User,-,,Study/JOL,"Study Phase",2551,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,14,2020-08-27T10:34:25-07:00,2.0922229290009,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",DISCOVER,FLOOR,Study1,U,71,71,Study,User,-,,Study/JOL,"Study Phase",1899,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,15,2020-08-27T10:34:32-07:00,6.9891328811646,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",VALLEY,ADD,Study1,U,82,68,Study,User,-,,Study/JOL,"Study Phase",6767,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,16,2020-08-27T10:34:35-07:00,2.4405891895294,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",FIRE,BLAZE,Study1,B,45,56,Study,User,-,,Study/JOL,"Study Phase",2222,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,17,2020-08-27T10:34:38-07:00,3.1051998138428,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",HIDE,SICK,Study1,U,84,38,Study,User,-,,Study/JOL,"Study Phase",2900,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,18,2020-08-27T10:34:40-07:00,1.7887091636658,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",BITTER,COLD,Study1,F,12,85,Study,User,-,,Study/JOL,"Study Phase",1608,,,-1,-1,,,,1
w10096966,djo4tnwx70,Nick_Dissertation_EX1,1,19,2020-08-27T10:34:41-07:00,1.5849268436432,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",SMELL,STENCH,Study1,B,42,63,Study,User,-,,Study/JOL,"Study Phase",1394,,,-1,-1,,,,1
