Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,1,2020-04-29T10:13:57-07:00,12.553734064102,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1,11450,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,2,2020-04-29T10:14:15-07:00,18.571458816528,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FISH,SHRIMP,BUFFER3,Buffer,93,96,Study,User,-,,Study/JOL,BUFFER,18201,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,3,2020-04-29T10:14:24-07:00,8.6541790962219,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",POTATO,CARROT,BUFFER3,Buffer,91,94,Study,User,-,,Study/JOL,BUFFER,8451,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,4,2020-04-29T10:14:26-07:00,2.2487390041351,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FROZEN,ICE,BUFFER3,Buffer,94,93,Study,User,-,,Study/JOL,BUFFER,2057,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,5,2020-04-29T10:14:29-07:00,2.794261932373,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",ADVENTURE,CAMP,BUFFER3,Buffer,95,92,Study,User,-,,Study/JOL,BUFFER,2563,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,6,2020-04-29T10:14:32-07:00,2.5307960510254,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",STRING,NOODLE,BUFFER3,Buffer,92,95,Study,User,-,,Study/JOL,BUFFER,2351,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,7,2020-04-29T10:14:34-07:00,2.4239389896393,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",CHILDREN,MIRROR,Study2,U,174,150,Study,User,-,,Study/JOL,"Study Phase",2237,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,8,2020-04-29T10:14:36-07:00,2.3251039981842,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",HAVE,OWN,Study2,S,153,103,Study,User,-,,Study/JOL,"Study Phase",2127,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,9,2020-04-29T10:14:40-07:00,3.2516820430756,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",AIRCRAFT,PLANE,Study2,F,129,146,Study,User,-,,Study/JOL,"Study Phase",3050,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,10,2020-04-29T10:14:42-07:00,2.4095039367676,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",WINDSHIELD,CAR,Study2,F,117,168,Study,User,-,,Study/JOL,"Study Phase",2211,,,-1,-1,,,,1
w10063994_baw,9bkfh5yiti,Nick_Dissertation_EX1,1,11,2020-04-29T10:14:45-07:00,2.5878949165344,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",Morning,TEMPERATURE,Study2,U,173,137,Study,User,-,,Study/JOL,"Study Phase",2399,,,-1,-1,,,,1
