Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,1,2021-10-17T13:55:53-07:00,7.2726838588715,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6229,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,2,2021-10-17T13:56:05-07:00,11.398638010025,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",,,,,,0,Instruct,-,10,"Each word will be displayed on the computer screen for 8 seconds. The screen will automatically move to the next pair when time is up. Please study each pair. Your memory will be tested!",,Instruct15,11050,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,3,2021-10-17T13:56:06-07:00,1.6587791442871,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,1355,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,4,2021-10-17T13:56:15-07:00,8.2796478271484,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",POTATO,CARROT,BUFFER3,Buffer,91,93,Study,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,5,2021-10-17T13:56:23-07:00,8.3372280597687,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",ADVENTURE,CAMP,BUFFER3,Buffer,95,92,Study,8,8,,Study/JOL,BUFFER,8012,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,6,2021-10-17T13:56:31-07:00,8.3940749168396,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FISH,SHRIMP,BUFFER3,Buffer,93,96,Study,8,8,,Study/JOL,BUFFER,8007,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,7,2021-10-17T13:56:40-07:00,8.355437040329,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",STRING,NOODLE,BUFFER3,Buffer,92,95,Study,8,8,,Study/JOL,BUFFER,8004,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,8,2021-10-17T13:56:55-07:00,15.161904096603,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FROZEN,ICE,BUFFER3,Buffer,94,94,Study,8,8,,Study/JOL,BUFFER,8008,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,9,2021-10-17T13:57:03-07:00,8.5344789028168,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",HEAD,SCALP,Study2,B,105,150,Study,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,10,2021-10-17T13:57:12-07:00,8.313266992569,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",NAP,SLEEP,Study2,F,134,165,Study,8,8,,Study/JOL,"Study Phase",8004,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,11,2021-10-17T13:57:20-07:00,8.3121120929718,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",TICK,FLEA,Study2,S,151,143,Study,8,8,,Study/JOL,"Study Phase",8004,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,12,2021-10-17T13:57:28-07:00,8.3006858825684,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",REVENGE,EVEN,Study2,F,122,161,Study,8,8,,Study/JOL,"Study Phase",8005,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,13,2021-10-17T13:57:37-07:00,8.2749061584473,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",COLD,CHILL,Study2,B,114,110,Study,8,8,,Study/JOL,"Study Phase",8006,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,14,2021-10-17T13:57:45-07:00,8.309396982193,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",WINDSHIELD,CAR,Study2,F,117,114,Study,8,8,,Study/JOL,"Study Phase",8008,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,15,2021-10-17T13:57:53-07:00,8.33904504776,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",GROUND,EARTH,Study2,S,144,151,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,16,2021-10-17T13:58:02-07:00,8.2971940040588,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",OBTAIN,MEAT,Study2,U,161,103,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,17,2021-10-17T13:58:10-07:00,8.2994818687439,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",MAROON,JUSTICE,Study2,U,156,164,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,18,2021-10-17T13:58:18-07:00,8.3111469745636,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",SEATBELT,SAFETY,Study2,S,147,158,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,19,2021-10-17T13:58:26-07:00,8.3260259628296,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",SHAVE,RAZOR,Study2,S,136,163,Study,8,8,,Study/JOL,"Study Phase",8018,,,-1,-1,,,,1
w10103314_kyd,sk7w9bzjv6,Nick_Dissertation_EX1_EP,1,20,2021-10-17T13:58:35-07:00,8.300528049469,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",BALLOON,POP,Study2,F,123,138,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
