Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,1,2021-11-30T03:14:23+00:00,7.835480928421,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,7739,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,2,2021-11-30T03:14:35+00:00,11.42765712738,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",,,,,,0,Instruct,-,10,"Each word will be displayed on the computer screen for 8 seconds. The screen will automatically move to the next pair when time is up. Please study each pair. Your memory will be tested!",,Instruct15,11323,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,3,2021-11-30T03:14:40+00:00,5.3344898223877,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,5230,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,4,2021-11-30T03:14:49+00:00,8.8865630626678,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",PEANUT,BUTTER,BUFFER1,Buffer,3,6,Study,8,8,,Study/JOL,BUFFER,8005,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,5,2021-11-30T03:14:57+00:00,8.1317989826202,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",TREES,GREEN,BUFFER1,Buffer,1,3,Study,8,8,,Study/JOL,BUFFER,8006,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,6,2021-11-30T03:15:05+00:00,8.0995881557465,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",SPACE,JAM,BUFFER1,Buffer,5,4,Study,8,8,,Study/JOL,BUFFER,8005,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,7,2021-11-30T03:15:13+00:00,8.0938749313354,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",BASEBALL,CATCHER,BUFFER1,Buffer,2,5,Study,8,8,,Study/JOL,BUFFER,8005,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,8,2021-11-30T03:15:21+00:00,8.0937309265137,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",SCARE,HIDE,BUFFER1,Buffer,4,2,Study,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,9,2021-11-30T03:15:30+00:00,8.0901000499725,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",ARCHITECTURE,DESIGN,Study1,S,51,17,Study,8,8,,Study/JOL,"Study Phase",8001,,,-1,-1,,,,1
10079569MO,8z7x5045a8,Nick_Dissertation_EX1_EP,1,10,2021-11-30T03:15:38+00:00,8.098620891571,1,versionA_stim.csv,READVersionA.csv,"Read Version A","Dissertation, read only version A",MACHINE,POSITION,Study1,U,76,32,Study,8,8,,Study/JOL,"Study Phase",8005,,,-1,-1,,,,1
