Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,1,2020-07-08T14:56:38-07:00,15.529388904572,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1,14577,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,2,2020-07-08T14:56:46-07:00,8.2022020816803,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",JAM,SPACE,BUFFER1,Buffer,5,4,Study,User,-,,Study/JOL,BUFFER,6526,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,3,2020-07-08T14:56:55-07:00,8.3270001411438,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CATCHER,BASEBALL,BUFFER1,Buffer,2,5,Study,User,-,,Study/JOL,BUFFER,7222,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,4,2020-07-08T14:57:01-07:00,6.392208814621,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",GREEN,TREES,BUFFER1,Buffer,1,2,Study,User,-,,Study/JOL,BUFFER,5263,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,5,2020-07-08T14:57:07-07:00,5.5975821018219,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",HIDE,SCARE,BUFFER1,Buffer,4,6,Study,User,-,,Study/JOL,BUFFER,4437,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,6,2020-07-08T14:57:10-07:00,3.3944489955902,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",BUTTER,PEANUT,BUFFER1,Buffer,3,3,Study,User,-,,Study/JOL,BUFFER,2341,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,7,2020-07-08T14:57:14-07:00,4.4672179222107,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",WIND,BLOW,Study1,S,55,28,Study,User,-,,Study/JOL,"Study Phase",3440,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,8,2020-07-08T14:57:17-07:00,2.5517461299896,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CHEESE,WINE,Study1,S,57,68,Study,User,-,,Study/JOL,"Study Phase",1492,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,9,2020-07-08T14:57:20-07:00,2.7050058841705,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",STOMACH,DIGESTION,Study1,B,7,72,Study,User,-,,Study/JOL,"Study Phase",1666,,,-1,-1,,,,1
5a6dbea3e6cc4a0001b6c916,wo4tv0sweu,Nick_Dissertation_EX1,1,10,2020-07-08T14:57:22-07:00,2.411906003952,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",ATTORNEY,LAW,Study1,F,34,83,Study,User,-,,Study/JOL,"Study Phase",1373,,,-1,-1,,,,1
