Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,1,2020-09-10T14:18:35-07:00,13.661130905151,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1,13221,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,2,2020-09-10T14:18:41-07:00,5.9035699367523,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",NOODLE,STRING,BUFFER3,Buffer,92,95,Study,User,-,,Study/JOL,BUFFER,5113,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,3,2020-09-10T14:18:45-07:00,4.0697071552277,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",CARROT,POTATO,BUFFER3,Buffer,91,96,Study,User,-,,Study/JOL,BUFFER,3584,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,4,2020-09-10T14:18:50-07:00,4.6295750141144,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",CAMP,ADVENTURE,BUFFER3,Buffer,95,93,Study,User,-,,Study/JOL,BUFFER,4101,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,5,2020-09-10T14:18:54-07:00,3.9418528079987,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",ICE,FROZEN,BUFFER3,Buffer,94,92,Study,User,-,,Study/JOL,BUFFER,3564,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,6,2020-09-10T14:18:57-07:00,3.2464780807495,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",SHRIMP,FISH,BUFFER3,Buffer,93,94,Study,User,-,,Study/JOL,BUFFER,2615,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,7,2020-09-10T14:19:01-07:00,3.3184750080109,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",KEYS,JOKE,Study2,U,165,112,Study,User,-,,Study/JOL,"Study Phase",2816,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,8,2020-09-10T14:19:04-07:00,3.192724943161,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",MULE,DONKEY,Study2,F,108,105,Study,User,-,,Study/JOL,"Study Phase",2681,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,9,2020-09-10T14:19:07-07:00,3.6356389522552,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",DOCUMENT,PAPER,Study2,F,109,106,Study,User,-,,Study/JOL,"Study Phase",3292,,,-1,-1,,,,1
w10082599_LD,u7x96q1nyv,Nick_Dissertation_EX1,1,10,2020-09-10T14:19:10-07:00,2.7942991256714,2,versionA_stim.csv,READVersionB.csv,"Read Version B","Dissertation, read only version B",CACTUS,PLANT,Study2,F,98,150,Study,User,-,,Study/JOL,"Study Phase",2398,,,-1,-1,,,,1
