Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,1,2020-04-24T13:30:36-07:00,11.889896154404,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1,11360,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,2,2020-04-24T13:30:39-07:00,3.2490739822388,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",STRING,NOODLE,BUFFER3,Buffer,92,93,Study,User,-,,Study/JOL,BUFFER,2713,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,3,2020-04-24T13:30:41-07:00,2.1804699897766,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",POTATO,CARROT,BUFFER3,Buffer,91,94,Study,User,-,,Study/JOL,BUFFER,1509,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,4,2020-04-24T13:30:43-07:00,1.7545070648193,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",ADVENTURE,CAMP,BUFFER3,Buffer,95,96,Study,User,-,,Study/JOL,BUFFER,1060,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,5,2020-04-24T13:30:45-07:00,1.5446898937225,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FROZEN,ICE,BUFFER3,Buffer,94,92,Study,User,-,,Study/JOL,BUFFER,946,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,6,2020-04-24T13:30:46-07:00,1.600044965744,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FISH,SHRIMP,BUFFER3,Buffer,93,95,Study,User,-,,Study/JOL,BUFFER,1052,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,7,2020-04-24T13:30:48-07:00,1.6810381412506,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",SARDINE,FISH,Study2,F,130,135,Study,User,-,,Study/JOL,"Study Phase",1111,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,8,2020-04-24T13:30:49-07:00,1.4509718418121,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",PAPER,DOCUMENT,Study2,B,109,165,Study,User,-,,Study/JOL,"Study Phase",813,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,9,2020-04-24T13:30:51-07:00,1.5206191539764,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",CARBON,ELEMENT,Study2,S,141,111,Study,User,-,,Study/JOL,"Study Phase",925,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,10,2020-04-24T13:30:52-07:00,1.1916108131409,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",WAX,CANDLE,Study2,S,139,176,Study,User,-,,Study/JOL,"Study Phase",729,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,11,2020-04-24T13:30:54-07:00,1.5023241043091,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",SHAVE,RAZOR,Study2,S,136,132,Study,User,-,,Study/JOL,"Study Phase",893,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,12,2020-04-24T13:30:55-07:00,1.3927121162415,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",TICK,FLEA,Study2,S,151,166,Study,User,-,,Study/JOL,"Study Phase",878,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,13,2020-04-24T13:30:57-07:00,2.009792804718,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",CLOTHES,CAKE,Study2,U,166,115,Study,User,-,,Study/JOL,"Study Phase",1433,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,14,2020-04-24T13:30:59-07:00,2.0398461818695,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",JOKE,KEYS,Study2,U,165,158,Study,User,-,,Study/JOL,"Study Phase",1482,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,15,2020-04-24T13:31:00-07:00,1.4232897758484,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",ACTRESS,STAR,Study2,F,120,106,Study,User,-,,Study/JOL,"Study Phase",909,,,-1,-1,,,,1
w10079637_EEL,paaxucwlvw,Nick_Dissertation_EX1,1,16,2020-04-24T13:31:02-07:00,1.5279080867767,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",HATE,NAME,Study2,U,167,103,Study,User,-,,Study/JOL,"Study Phase",834,,,-1,-1,,,,1
